prep1;751;8
prep1;751;5
prep1;751;4
prep1;751;5
prep1;751;4
prep1;751;5
prep1;753;8
prep1;753;4
prep1;753;3
prep1;753;7
prep1;753;7
prep1;754;10
prep1;754;6
prep1;754;8
prep1;755;5
prep1;755;7
prep1;755;5
prep2;751;5
prep2;751;9
prep2;751;9
prep2;752;7
prep2;752;9
prep2;752;7
prep2;753;7
prep2;753;8
prep2;754;7
prep2;754;5
prep2;754;10
prep2;755;7
prep2;755;6
prep2;755;9
prep2;756;5
prep2;756;7
prep2;756;8
prep3;751;8
prep3;751;9
prep3;751;7
prep3;751;4
prep3;751;8
prep3;752;8
prep3;752;7
prep3;752;10
prep3;753;9
prep3;753;8
prep3;753;3
prep3;756;5
prep3;756;6
prep3;756;10
prep4;751;3
prep4;752;4
prep4;752;4
prep4;752;6
prep4;754;4
prep4;754;4
prep4;754;3
prep4;754;5
prep4;754;5
prep4;754;4
prep4;755;6
prep5;754;9
prep5;754;6
prep5;754;7
prep5;754;5
prep5;754;6
prep5;754;8
prep5;755;8
prep5;755;8
prep5;756;5
prep5;756;6
prep5;756;5
prep5;756;6
prep5;756;5
prep6;751;7
prep6;753;7
prep6;753;4
prep6;753;5
prep6;755;9
prep6;755;6
prep6;755;5
prep6;755;7
prep6;756;9
prep6;756;7
prep6;756;4
prep6;756;10
prep7;752;5
prep7;752;5
prep7;752;7
prep7;752;7
prep7;752;10
prep7;752;8
prep7;752;5
prep7;753;10
prep7;753;10
prep7;753;8
prep7;755;8
prep7;755;8
prep7;755;5
prep7;756;5
prep7;756;5
prep7;756;8